index,data,quantidade,LAG1,LAG2,day_of_week,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,mes,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,trimestre,feriado
169,2022-02-07,270,5130.0,150.0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
167,2022-02-07,90,270.0,5130.0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
173,2022-02-08,90,960.0,600.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
170,2022-02-08,960,600.0,2700.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
172,2022-02-08,2700,270.0,3000.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
176,2022-02-08,270,3000.0,30.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
171,2022-02-08,600,2700.0,270.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
175,2022-02-08,30,300.0,855.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
177,2022-02-08,300,855.0,2619.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
178,2022-02-08,855,2619.0,90.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
174,2022-02-08,3000,30.0,300.0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
182,2022-02-09,1554,405.0,1998.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
183,2022-02-09,3090,90.0,960.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
179,2022-02-09,6855,3090.0,90.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
180,2022-02-09,1998,6855.0,3090.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
181,2022-02-09,405,1998.0,6855.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
184,2022-02-09,1110,1554.0,405.0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
186,2022-02-10,9162,3147.0,471.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
187,2022-02-10,2301,9162.0,3147.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
191,2022-02-10,3147,471.0,2025.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
185,2022-02-10,720,2301.0,9162.0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2022Q1,0
